hgnc_symbol	start_position	end_position	chromosome_name
ABHD12	ABHD12	25275379	25371619	20
ABHD12B	ABHD12B	51338878	51371688	14
ABHD13	ABHD13	108870727	108886603	13
ABHD14A	ABHD14A	52005442	52015212	3
ABHD14A-ACY1	ABHD14A-ACY1	52009066	52023199	3
ABHD14B	ABHD14B	52002526	52017425	3
ABHD15	ABHD15	27887565	27894155	17
ABHD16B	ABHD16B	62492566	62494341	20
ABHD17A	ABHD17A	1876809	1885546	19
ABHD17B	ABHD17B	74477368	74525847	9
ABHD17C	ABHD17C	80972025	81047962	15
ABHD2	ABHD2	89630690	89745591	15
ABHD3	ABHD3	19230858	19284766	18
ABHD4	ABHD4	23067146	23081265	14
ABHD5	ABHD5	43731605	43775863	3
ABHD6	ABHD6	58223233	58281420	3
ABHD8	ABHD8	17402940	17421045	19
ABI1	ABI1	27035522	27150016	10
ABI2	ABI2	204192942	204312446	2
ABI3	ABI3	47287589	47300587	17
ABI3BP	ABI3BP	100468000	100712359	3
ABL1	ABL1	133589333	133763062	9
ABL2	ABL2	179068462	179198819	1
ABLIM1	ABLIM1	116190872	116444762	10
ABLIM2	ABLIM2	7967039	8160559	4
ABLIM3	ABLIM3	148521046	148640105	5
ABO	ABO	136125788	136150617	9
ABR	ABR	906758	1132315	17
ABRA	ABRA	107771711	107782473	8
ABRACL	ABRACL	139349819	139364439	6
ABT1	ABT1	26597180	26600278	6
ABTB1	ABTB1	127391778	127399768	3
ABTB2	ABTB2	34172535	34379555	11
ACAA1	ACAA1	38144620	38178733	3
ACAA2	ACAA2	47309869	47340330	18
ACACA	ACACA	35441923	35766909	17
ACACB	ACACB	109554400	109706031	12
ACAD10	ACAD10	112123857	112194903	12
ACAD11	ACAD11	132276982	132379567	3
ACAD8	ACAD8	134123389	134135749	11
ACAD9	ACAD9	128598439	128634910	3
ACADL	ACADL	211052663	211090215	2
ACADM	ACADM	76190036	76253260	1
ACADS	ACADS	121163538	121177811	12
ACADSB	ACADSB	124768495	124817827	10
ACADVL	ACADVL	7120444	7128592	17
ACAN	ACAN	89346674	89418585	15
ACAP1	ACAP1	7239848	7254797	17
ACAP2	ACAP2	194995465	195163807	3
ACAP3	ACAP3	1227756	1244989	1
ACAT1	ACAT1	107992243	108018503	11
ACAT2	ACAT2	160181360	160200144	6
ACBD3	ACBD3	226332380	226374431	1
ACBD4	ACBD4	43209967	43221548	17
ACBD5	ACBD5	27484146	27531059	10
ACBD6	ACBD6	180244515	180472089	1
ACBD7	ACBD7	15119522	15130775	10
ACCS	ACCS	44087475	44105772	11
ACCSL	ACCSL	44069531	44081527	11
ACD	ACD	67691415	67694713	16
ACE	ACE	61554422	61599205	17
ACE2	ACE2	15579156	15620271	X
ACER1	ACER1	6306153	6333640	19
ACER2	ACER2	19408925	19452018	9
ACHE	ACHE	100487615	100494594	7
ACIN1	ACIN1	23527773	23564823	14
ACKR2	ACKR2	42846244	42929466	3
ACKR3	ACKR3	237476430	237491001	2
ACKR4	ACKR4	132316081	132337811	3
ACMSD	ACMSD	135596117	135659604	2
ACO1	ACO1	32384618	32454767	9
ACO2	ACO2	41865129	41924993	22
ACOT1	ACOT1	74003818	74010498	14
ACOT11	ACOT11	55007930	55104865	1
ACOT12	ACOT12	80625824	80689998	5
ACOT13	ACOT13	24667263	24705293	6
ACOT2	ACOT2	74034324	74042357	14
ACOT4	ACOT4	74058410	74063200	14
ACOT6	ACOT6	74077649	74086592	14
ACOT7	ACOT7	6324329	6454451	1
ACOT8	ACOT8	44470360	44486045	20
ACOT9	ACOT9	23720370	23784592	X
ACOX1	ACOX1	73937588	73975515	17
ACOX2	ACOX2	58490863	58523046	3
ACOX3	ACOX3	8368009	8442450	4
ACOXL	ACOXL	111490150	111875799	2
ACP1	ACP1	264140	278283	2
ACP2	ACP2	47260853	47270457	11
ACP5	ACP5	11685475	11689823	19
ACP6	ACP6	147101453	147142618	1
ACPP	ACPP	132036211	132087142	3
ACR	ACR	51176624	51183762	22
ACRBP	ACRBP	6747241	6756626	12
ACRV1	ACRV1	125541417	125551018	11
ACSBG1	ACSBG1	78459810	78538030	15
ACSBG2	ACSBG2	6135258	6193112	19
ACSF2	ACSF2	48503519	48552206	17
ACSF3	ACSF3	89154783	89222254	16
ACSL1	ACSL1	185676749	185747972	4
ACSL3	ACSL3	223725652	223809357	2
ACSL4	ACSL4	108867473	108976632	X
ACSL5	ACSL5	114133776	114188138	10
ACSL6	ACSL6	131142683	131347936	5
ACSM1	ACSM1	20634559	20710212	16
ACSM2A	ACSM2A	20462783	20498991	16
ACSM2B	ACSM2B	20547548	20587749	16
ACSM3	ACSM3	20621565	20808903	16
ACSM4	ACSM4	7456880	7481320	12
ACSM5	ACSM5	20420856	20452658	16
ACSS1	ACSS1	24986868	25039616	20
ACSS2	ACSS2	33459949	33515769	20
ACSS3	ACSS3	81331594	81650533	12
ACTA1	ACTA1	229566992	229569845	1
ACTA2	ACTA2	90694831	90751147	10
ACTB	ACTB	5566782	5603415	7
ACTBL2	ACTBL2	56775846	56778636	5
ACTC1	ACTC1	35080297	35088340	15
ACTG2	ACTG2	74119441	74146992	2
ACTL10	ACTL10	32254304	32256331	20
ACTL6A	ACTL6A	179280668	179306196	3
ACTL6B	ACTL6B	100240720	100254084	7
ACTL7B	ACTL7B	111616871	111619239	9
ACTL8	ACTL8	18081808	18153558	1
ACTN1	ACTN1	69340860	69446157	14
ACTN2	ACTN2	236849754	236927931	1
ACTN3	ACTN3	66313866	66330800	11
ACTN4	ACTN4	39138289	39222223	19
ACTR10	ACTR10	58666798	58701750	14
ACTR1A	ACTR1A	104238986	104262482	10
ACTR1B	ACTR1B	98272431	98280570	2
ACTR2	ACTR2	65454887	65498387	2
ACTR3	ACTR3	114647537	114720173	2
ACTR3B	ACTR3B	152456834	152552463	7
ACTR3C	ACTR3C	149941005	150020814	7
ACTR5	ACTR5	37377085	37400834	20
ACTR6	ACTR6	100592900	100635643	12
ACTR8	ACTR8	53901093	53916229	3
ACTRT1	ACTRT1	127184943	127186382	X
ACTRT3	ACTRT3	169484709	169487683	3
ACVR1	ACVR1	158592958	158732374	2
ACVR1B	ACVR1B	52345451	52390862	12
ACVR1C	ACVR1C	158383279	158485517	2
ACVR2A	ACVR2A	148602086	148688393	2
ACVR2B	ACVR2B	38495342	38534633	3
ACVRL1	ACVRL1	52300692	52317145	12
ACY1	ACY1	52009066	52023213	3
ACY3	ACY3	67410026	67418130	11
ACYP1	ACYP1	75519924	75536186	14
ACYP2	ACYP2	54197975	54532437	2
ADA	ADA	43248163	43280874	20
ADAD1	ADAD1	123300121	123350957	4
ADAD2	ADAD2	84224744	84230774	16
ADAL	ADAL	43622872	43646096	15
ADAM10	ADAM10	58887403	59042177	15
ADAM11	ADAM11	42836399	42859214	17
ADAM12	ADAM12	127700950	128077024	10
ADAM15	ADAM15	155023042	155035252	1
ADAM17	ADAM17	9628615	9695921	2
ADAM18	ADAM18	39442008	39587583	8
ADAM19	ADAM19	156822542	157002783	5
ADAM2	ADAM2	39601254	39695808	8
ADAM20	ADAM20	70989075	71001732	14
ADAM20P1	ADAM20P1	70935598	70950473	14
ADAM21	ADAM21	70918874	70926622	14
ADAM22	ADAM22	87563458	87832204	7
ADAM23	ADAM23	207308263	207485851	2
ADAM28	ADAM28	24151553	24216531	8
ADAM29	ADAM29	175750819	175899331	4
ADAM30	ADAM30	120436156	120439118	1
ADAM32	ADAM32	38964509	39142430	8
ADAM33	ADAM33	3648612	3662893	20
ADAM7	ADAM7	24298443	24384483	8
ADAM8	ADAM8	135075907	135090372	10
ADAM9	ADAM9	38854388	38962663	8
ADAMDEC1	ADAMDEC1	24241798	24263526	8
ADAMTS1	ADAMTS1	28208066	28217728	21
ADAMTS12	ADAMTS12	33523640	33892297	5
ADAMTS14	ADAMTS14	72432559	72522197	10
ADAMTS15	ADAMTS15	130318869	130346532	11
ADAMTS16	ADAMTS16	5140443	5320417	5
ADAMTS17	ADAMTS17	100511794	100882210	15
ADAMTS18	ADAMTS18	77281710	77469011	16
ADAMTS19	ADAMTS19	128795958	129074376	5
ADAMTS2	ADAMTS2	178537852	178772431	5
ADAMTS20	ADAMTS20	43747669	43945724	12
ADAMTS3	ADAMTS3	73146686	73434516	4
ADAMTS4	ADAMTS4	161154098	161168846	1
ADAMTS5	ADAMTS5	28290231	28338832	21
ADAMTS6	ADAMTS6	64444563	64777747	5
ADAMTS7	ADAMTS7	79051545	79103773	15
ADAMTS8	ADAMTS8	130274820	130298888	11
ADAMTS9	ADAMTS9	64501333	64673676	3
ADAMTSL1	ADAMTSL1	18473892	18910948	9
ADAMTSL2	ADAMTSL2	136397286	136440641	9
ADAMTSL3	ADAMTSL3	84322838	84708594	15
ADAMTSL4	ADAMTSL4	150521884	150533413	1
ADAMTSL5	ADAMTSL5	1505017	1513603	19
ADAP1	ADAP1	937540	995043	7
ADAP2	ADAP2	29233362	29286340	17
ADAR	ADAR	154554538	154600475	1
ADARB1	ADARB1	46493768	46646478	21
ADARB2	ADARB2	1228073	1779670	10
ADAT1	ADAT1	75630879	75657198	16
ADAT2	ADAT2	143743969	143771810	6
ADAT3	ADAT3	1905377	1913444	19
ADCK1	ADCK1	78266426	78401355	14
ADCK2	ADCK2	140372953	140396061	7
ADCY1	ADCY1	45613739	45762715	7
ADCY10	ADCY10	167778625	167883453	1
ADCY2	ADCY2	7396321	7830194	5
ADCY3	ADCY3	25042038	25142708	2
ADCY4	ADCY4	24787555	24804299	14
ADCY5	ADCY5	123001143	123168605	3
ADCY6	ADCY6	49159975	49182820	12
ADCY7	ADCY7	50280048	50352046	16
ADCY8	ADCY8	131792547	132054672	8
ADCY9	ADCY9	4003388	4166186	16
ADCYAP1	ADCYAP1	904944	912173	18
ADCYAP1R1	ADCYAP1R1	31092076	31151089	7
ADD1	ADD1	2845584	2931803	4
ADD2	ADD2	70834750	70995357	2
ADD3	ADD3	111756126	111895323	10
ADGB	ADGB	146920101	147136598	6
ADH1A	ADH1A	100197524	100212185	4
ADH1B	ADH1B	100226121	100242558	4
ADH1C	ADH1C	100257649	100274184	4
ADH4	ADH4	100044808	100078949	4
ADH5	ADH5	99992132	100009952	4
ADH6	ADH6	100123795	100140694	4
ADH7	ADH7	100333418	100356894	4
ADHFE1	ADHFE1	67342420	67383836	8
ADI1	ADI1	3501132	3523507	2
ADIG	ADIG	37209838	37217106	20
ADIPOQ	ADIPOQ	186560463	186576252	3
ADIPOR1	ADIPOR1	202909951	202927700	1
ADIPOR2	ADIPOR2	1797740	1897844	12
ADIRF	ADIRF	88727949	88743691	10
ADK	ADK	75910960	76469061	10
ADM	ADM	10326227	10328944	11
ADM2	ADM2	50919985	50924869	22
ADM5	ADM5	50191921	50193832	19
ADNP	ADNP	49505585	49547958	20
ADNP2	ADNP2	77866915	77905406	18
ADO	ADO	64564516	64568238	10
ADORA1	ADORA1	203059782	203136533	1
ADORA2A	ADORA2A	24813847	24838328	22
ADORA2B	ADORA2B	15848231	15879060	17
ADORA3	ADORA3	112025970	112106584	1
ADPGK	ADPGK	73043710	73078187	15
ADPRH	ADPRH	119298115	119308792	3
ADPRHL1	ADPRHL1	114076260	114107839	13
ADPRHL2	ADPRHL2	36554476	36559533	1
ADPRM	ADPRM	10600911	10614550	17
ADRA1A	ADRA1A	26605667	26724790	8
ADRA1B	ADRA1B	159343790	159399551	5
ADRA1D	ADRA1D	4201329	4229721	20
ADRA2A	ADRA2A	112836790	112840658	10
ADRA2B	ADRA2B	96778707	96781984	2
ADRA2C	ADRA2C	3768075	3770251	4
ADRB1	ADRB1	115803806	115806667	10
ADRB2	ADRB2	148206156	148208196	5
ADRB3	ADRB3	37820516	37824483	8
ADRM1	ADRM1	60877149	60883918	20
ADSL	ADSL	40742507	40786467	22
ADSS	ADSS	244571796	244615436	1
ADSSL1	ADSSL1	105190523	105213662	14
ADTRP	ADTRP	11712287	11807279	6
AEBP1	AEBP1	44143960	44154161	7
AEBP2	AEBP2	19556979	19873735	12
AEN	AEN	89164527	89175513	15
AES	AES	3052908	3063105	19
AFAP1	AFAP1	7760441	7941653	4
AFAP1L1	AFAP1L1	148651434	148721365	5
AFAP1L2	AFAP1L2	116054583	116164515	10
AFF1	AFF1	87856154	88062206	4
AFF2	AFF2	147582139	148082193	X
AFF3	AFF3	100162323	100759201	2
AFF4	AFF4	132211071	132299326	5
AFG3L2	AFG3L2	12328943	12377313	18
AFM	AFM	74347400	74369691	4
AFMID	AFMID	76183398	76203782	17
AFP	AFP	74296855	74321891	4
AFTPH	AFTPH	64751465	64820139	2
AGA	AGA	178351924	178363657	4
AGAP1	AGAP1	236402733	237040444	2
AGAP2	AGAP2	58118980	58135940	12
AGAP3	AGAP3	150782918	150841523	7
AGAP4	AGAP4	46321042	46349323	10
AGAP5	AGAP5	75434033	75457639	10
AGAP6	AGAP6	51748078	51770259	10
AGAP9	AGAP9	48189612	48237508	10
AGBL2	AGBL2	47681143	47736941	11
AGBL3	AGBL3	134671259	134832715	7
AGBL4	AGBL4	48998527	50489585	1
AGBL5	AGBL5	27265232	27293490	2
AGFG1	AGFG1	228336868	228425930	2
AGFG2	AGFG2	100136834	100165842	7
AGGF1	AGGF1	76325076	76361059	5
AGK	AGK	141250989	141355044	7
AGL	AGL	100315640	100389579	1
AGMAT	AGMAT	15898848	15911605	1
AGMO	AGMO	15239943	15601640	7
AGO1	AGO1	36335409	36395211	1
AGO2	AGO2	141541264	141645718	8
AGO3	AGO3	36396319	36538101	1
AGO4	AGO4	36273773	36323491	1
AGPAT2	AGPAT2	139567595	139581875	9
AGPAT3	AGPAT3	45285067	45406417	21
AGPAT4	AGPAT4	161551011	161695093	6
AGPAT5	AGPAT5	6565878	6617184	8
AGPS	AGPS	178257372	178408564	2
AGR2	AGR2	16831435	16873057	7
AGR3	AGR3	16899029	16921611	7
AGRN	AGRN	955503	991496	1
AGRP	AGRP	67516474	67517716	16
AGT	AGT	230838269	230850043	1
AGTPBP1	AGTPBP1	88161455	88356944	9
AGTR1	AGTR1	148415571	148460795	3
AGTR2	AGTR2	115301975	115306225	X
AGTRAP	AGTRAP	11796141	11814859	1
AGXT	AGXT	241807896	241819919	2
AGXT2	AGXT2	34998206	35048198	5
AHCTF1	AHCTF1	247002400	247095280	1
AHCY	AHCY	32868074	32899608	20
AHCYL1	AHCYL1	110527308	110566357	1
AHCYL2	AHCYL2	128864864	129070052	7
AHDC1	AHDC1	27860546	27930942	1
AHI1	AHI1	135604670	135818914	6
AHNAK	AHNAK	62201016	62323707	11
AHNAK2	AHNAK2	105403581	105444694	14
AHR	AHR	17338246	17385776	7
AHRR	AHRR	304291	438406	5
AHSA1	AHSA1	77924213	77935817	14
AHSG	AHSG	186330712	186339107	3
AHSP	AHSP	31539185	31540124	16
AICDA	AICDA	8754762	8765467	12
AIDA	AIDA	222841355	222886552	1
AIF1L	AIF1L	133971863	133998539	9
AIFM1	AIFM1	129263337	129299861	X
AIFM2	AIFM2	71857979	71892690	10
AIFM3	AIFM3	21319396	21335649	22
AIG1	AIG1	143381633	143661441	6
AIM2	AIM2	159032274	159116886	1
AIMP1	AIMP1	107236701	107270383	4
AIMP2	AIMP2	6048876	6063465	7
AIP	AIP	67250512	67258574	11
AIPL1	AIPL1	6297013	6338519	17
AIRE	AIRE	45705721	45718531	21
AJAP1	AJAP1	4714792	4852594	1
AJUBA	AJUBA	23440383	23451851	14
AK1	AK1	130628759	130640022	9
AK2	AK2	33473585	33546597	1
AK3	AK3	4711155	4742043	9
AK4	AK4	65613232	65697828	1
AK5	AK5	77747736	78025651	1
AK7	AK7	96858448	96955764	14
AK8	AK8	135600965	135754164	9
AK9	AK9	109814059	110012420	6
AKAP1	AKAP1	55162453	55198710	17
AKAP10	AKAP10	19807615	19881656	17
AKAP11	AKAP11	42846289	42897396	13
AKAP12	AKAP12	151561134	151679692	6
AKAP13	AKAP13	85923802	86292586	15
AKAP14	AKAP14	119029800	119054679	X
AKAP17A	AKAP17A	1710486	1721407	X
AKAP2	AKAP2	112542769	112934792	9
AKAP3	AKAP3	4724674	4758213	12
AKAP4	AKAP4	49955406	49965664	X
AKAP5	AKAP5	64932217	64941221	14
AKAP6	AKAP6	32798479	33300567	14
AKAP7	AKAP7	131456806	131604675	6
AKAP8	AKAP8	15464196	15490609	19
AKAP8L	AKAP8L	15490859	15529952	19
AKAP9	AKAP9	91570181	91739987	7
AKIP1	AKIP1	8932686	8941631	11
AKIRIN1	AKIRIN1	39456895	39471731	1
AKIRIN2	AKIRIN2	88384790	88411927	6
AKNA	AKNA	117096436	117156685	9
AKNAD1	AKNAD1	109358520	109506106	1
AKR1A1	AKR1A1	46016215	46035721	1
AKR1B1	AKR1B1	134127102	134144036	7
AKR1B10	AKR1B10	134212344	134226160	7
AKR1B15	AKR1B15	134233888	134264627	7
AKR1C1	AKR1C1	4934796	5025475	10
AKR1D1	AKR1D1	137687070	137802732	7
AKR1E2	AKR1E2	4828821	4890254	10
AKR7A2	AKR7A2	19630459	19638640	1
AKR7A3	AKR7A3	19609052	19615744	1
AKR7L	AKR7L	19592476	19600688	1
AKT1	AKT1	105235686	105262088	14
AKT1S1	AKT1S1	50372295	50381716	19
AKT2	AKT2	40736224	40791443	19
AKT3	AKT3	243651535	244014381	1
AKTIP	AKTIP	53524952	53538323	16
ALAD	ALAD	116148597	116163613	9
ALAS1	ALAS1	52232102	52248343	3
ALAS2	ALAS2	55035488	55057497	X
ALB	ALB	74262831	74287129	4
ALCAM	ALCAM	105085753	105295744	3
ALDH16A1	ALDH16A1	49956426	49974305	19
ALDH18A1	ALDH18A1	97365696	97416463	10
ALDH1A1	ALDH1A1	75515578	75695358	9
ALDH1A2	ALDH1A2	58245622	58790065	15
ALDH1A3	ALDH1A3	101417919	101456831	15
ALDH1B1	ALDH1B1	38392661	38398658	9
ALDH1L1	ALDH1L1	125822412	125916837	3
ALDH1L2	ALDH1L2	105413568	105478355	12
ALDH2	ALDH2	112204691	112247782	12
ALDH3A1	ALDH3A1	19641297	19652256	17
ALDH3A2	ALDH3A2	19551449	19580911	17
ALDH3B1	ALDH3B1	67776048	67796744	11
ALDH3B2	ALDH3B2	67429633	67448671	11
ALDH4A1	ALDH4A1	19197926	19229275	1
ALDH5A1	ALDH5A1	24495080	24537435	6
ALDH6A1	ALDH6A1	74523553	74551196	14
ALDH7A1	ALDH7A1	125877533	125931110	5
ALDH8A1	ALDH8A1	135238528	135271260	6
ALDH9A1	ALDH9A1	165631453	165668100	1
ALDOA	ALDOA	30064411	30081778	16
ALDOB	ALDOB	104182860	104198105	9
ALDOC	ALDOC	26900133	26904282	17
ALG1	ALG1	5083703	5137380	16
ALG10	ALG10	34175216	34182629	12
ALG10B	ALG10B	38710380	38717784	12
ALG11	ALG11	52586534	52603800	13
ALG12	ALG12	50293877	50312106	22
ALG13	ALG13	110909043	111003877	X
ALG14	ALG14	95439963	95538501	1
ALG1L	ALG1L	125648118	125655882	3
ALG1L2	ALG1L2	129800674	129832070	3
ALG2	ALG2	101978708	101984238	9
ALG3	ALG3	183960089	183967336	3
ALG5	ALG5	37523912	37574398	13
ALG6	ALG6	63833261	63904233	1
ALG8	ALG8	77811982	77850706	11
ALG9	ALG9	111652919	111742305	11
ALK	ALK	29415640	30144432	2
ALKBH1	ALKBH1	78138747	78174363	14
ALKBH2	ALKBH2	109525996	109531436	12
ALKBH3	ALKBH3	43902361	43941816	11
ALKBH4	ALKBH4	102096685	102105323	7
ALKBH5	ALKBH5	18086392	18113268	17
ALKBH6	ALKBH6	36500022	36505141	19
ALKBH7	ALKBH7	6372444	6375042	19
ALKBH8	ALKBH8	107373452	107436472	11
ALLC	ALLC	3705785	3750261	2
ALMS1	ALMS1	73612886	73837920	2
ALOX12	ALOX12	6899384	6914055	17
ALOX12B	ALOX12B	7975954	7991021	17
ALOX15	ALOX15	4534197	4545589	17
ALOX15B	ALOX15B	7942335	7952452	17
ALOX5	ALOX5	45869661	45941561	10
ALOX5AP	ALOX5AP	31309645	31338556	13
ALOXE3	ALOXE3	7999218	8022365	17
ALPI	ALPI	233320833	233324742	2
ALPK1	ALPK1	113206665	113363776	4
ALPK2	ALPK2	56148479	56296189	18
ALPK3	ALPK3	85359911	85416713	15
ALPL	ALPL	21835858	21904905	1
ALPP	ALPP	233243244	233247599	2
ALS2	ALS2	202565277	202645912	2
ALS2CL	ALS2CL	46710487	46735194	3
ALS2CR12	ALS2CR12	202152994	202222121	2
ALX1	ALX1	85673885	85695562	12
ALX3	ALX3	110602616	110613322	1
ALX4	ALX4	44281994	44331716	11
ALYREF	ALYREF	79845713	79849462	17
AMACR	AMACR	33986283	34008220	5
AMBN	AMBN	71457973	71473005	4
AMBP	AMBP	116822407	116840752	9
AMBRA1	AMBRA1	46417964	46615675	11
AMD1	AMD1	111195973	111216916	6
AMDHD1	AMDHD1	96337071	96362370	12
AMDHD2	AMDHD2	2570358	2581423	16
AMELX	AMELX	11311533	11318881	X
AMER1	AMER1	63404997	63425624	X
AMER2	AMER2	25735822	25746426	13
AMER3	AMER3	131513008	131525707	2
AMFR	AMFR	56395364	56459450	16
AMH	AMH	2249308	2252072	19
AMHR2	AMHR2	53817639	53825318	12
AMIGO1	AMIGO1	110046797	110052360	1
AMIGO2	AMIGO2	47469490	47473734	12
AMIGO3	AMIGO3	49754267	49761349	3
AMMECR1	AMMECR1	109437414	109683461	X
AMMECR1L	AMMECR1L	128619204	128643496	2
AMN	AMN	103388993	103399933	14
AMN1	AMN1	31824071	31882108	12
AMOT	AMOT	112017731	112084043	X
AMOTL1	AMOTL1	94439597	94609918	11
AMOTL2	AMOTL2	134074716	134094321	3
AMPD1	AMPD1	115215719	115238239	1
AMPD2	AMPD2	110158726	110174673	1
AMPD3	AMPD3	10329860	10529126	11
AMPH	AMPH	38423305	38671167	7
AMT	AMT	49454211	49460186	3
AMTN	AMTN	71384257	71398459	4
AMY1A	AMY1A	104197912	104207173	1
AMY1B	AMY1B	104230037	104239302	1
AMY1C	AMY1C	104293028	104301312	1
AMY2A	AMY2A	104159999	104168402	1
AMY2B	AMY2B	104096437	104122156	1
AMZ1	AMZ1	2719156	2815134	7
ANAPC1	ANAPC1	112523848	112642267	2
ANAPC10	ANAPC10	145888264	146019693	4
ANAPC11	ANAPC11	79848666	79858867	17
ANAPC13	ANAPC13	134196548	134205558	3
ANAPC15	ANAPC15	71817424	71823826	11
ANAPC16	ANAPC16	73975787	73995618	10
ANAPC2	ANAPC2	140069236	140082989	9
ANAPC4	ANAPC4	25378835	25420120	4
ANAPC5	ANAPC5	121746048	121837699	12
ANAPC7	ANAPC7	110810705	110841535	12
ANG	ANG	21152336	21167130	14
ANGEL1	ANGEL1	77253588	77292589	14
ANGEL2	ANGEL2	213165524	213189168	1
ANGPT1	ANGPT1	108261721	108510283	8
ANGPT2	ANGPT2	6357172	6420930	8
ANGPT4	ANGPT4	853296	896977	20
ANGPTL1	ANGPTL1	178818840	178840187	1
ANGPTL2	ANGPTL2	129849611	129885162	9
ANGPTL3	ANGPTL3	63063158	63071830	1
ANGPTL4	ANGPTL4	8428173	8439257	19
ANGPTL5	ANGPTL5	101761405	101787253	11
ANGPTL6	ANGPTL6	10203014	10213472	19
ANGPTL7	ANGPTL7	11249398	11256038	1
ANHX	ANHX	133794898	133812681	12
ANK1	ANK1	41510739	41754280	8
ANK2	ANK2	113739265	114304896	4
ANK3	ANK3	61786056	62493248	10
ANKAR	ANKAR	190539016	190625919	2
ANKDD1A	ANKDD1A	65204101	65251042	15
ANKDD1B	ANKDD1B	74907284	74967671	5
ANKEF1	ANKEF1	9966774	10037410	20
ANKFN1	ANKFN1	54188319	54589020	17
ANKFY1	ANKFY1	4067201	4167274	17
ANKH	ANKH	14704910	14871887	5
ANKHD1	ANKHD1	139781399	139929163	5
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	139781493	139929154	5
ANKIB1	ANKIB1	91875548	92030698	7
ANKK1	ANKK1	113258513	113271140	11
ANKLE1	ANKLE1	17392454	17398455	19
ANKLE2	ANKLE2	133302254	133338474	12
ANKMY1	ANKMY1	241418839	241508626	2
ANKMY2	ANKMY2	16639401	16685442	7
ANKRA2	ANKRA2	72848160	72861511	5
ANKRD1	ANKRD1	92671853	92681033	10
ANKRD10	ANKRD10	111530887	111567416	13
ANKRD11	ANKRD11	89334038	89556969	16
ANKRD12	ANKRD12	9136226	9285983	18
ANKRD13A	ANKRD13A	110436991	110477568	12
ANKRD13B	ANKRD13B	27916787	27941779	17
ANKRD13C	ANKRD13C	70726271	70820417	1
ANKRD13D	ANKRD13D	67056018	67069956	11
ANKRD16	ANKRD16	5903580	5931869	10
